index,f1,f2,f3
1,0.263204949,1.350117113,-0.727486632
2,-0.417695122,-0.496943723,0.282734579
4,1.252295097,0.771887347,1.523480364
5,-1.439245965,-0.896224577,-1.033330022
6,0.341441041,-0.72883616,-0.045398289
