index,f1,f2,f3
1,0.224769874,2.554076696,-0.073660618
2,-0.472928283,0.567063594,1.153244851
4,1.238261286,1.932034315,2.660120547
5,-1.519681208,0.137529128,-0.445104936
6,0.304936083,0.317600608,0.754730144
