index,f1,f2,f3
1,2.3007378,3.197173188,72.35448064
2,1.909425096,1.471784322,159.4080121
4,2.869167084,2.657033318,266.3264782
5,1.322340677,1.098805409,45.99911713
6,2.345700017,1.255167402,131.1319033
