image index,f1,f2,f3,flag
1,1.704819829,0.31127733,50.44291617,1
2,1.826102562,0.356703365,42.35116144,1
3,1.451350112,0.514826889,47.50469274,2
4,2.003117119,0.674982465,66.82511708,3
5,1.886420665,0.378582652,97.88256342,4
6,1.680351282,0.385373654,127.6443851,4
7,2.885241121,0.600502794,-0.821342677,5
8,2.998016662,0.717769223,-4.612857584,5
9,2.921975939,0.652700396,7.804017396,5
10,2.515326268,0.418082721,53.47400978,6
