index,f1,f2,f3,flag
1,-0.837732993,-0.769413442,-0.382475411,1
2,-0.621489723,-0.717099365,-0.496518092,1
3,-1.289661472,-0.534999248,-0.42388582,2
4,-0.305878374,-0.350558955,-0.151589753,3
5,-0.513944455,-0.691902477,0.286124262,4
6,-0.881359638,-0.68408174,0.705578145,4
7,1.266920784,-0.43633213,-1.104977973,5
8,1.467996002,-0.301284353,-1.158414408,5
9,1.332417801,-0.3762197,-0.983414824,5
10,0.607374317,-0.646412931,-0.339756117,6
